1_1514	1_7361	100	135	0	0	1	135	1	135	3.54e-87	269
1_15414	1_7361	89.8	137	0	1	1	123	1	137	8.34e-83	238
1_15463	1_7361	89.6	135	0	1	1	121	1	135	9.76e-74	233
1_16143	1_7361	49.6	135	68	0	24	158	1	135	1.49e-38	134
1_22407	1_7361	100	135	0	0	1	135	1	135	3.54e-87	269
1_7361	1_11697	29.5	122	82	2	15	135	16	134	4.83e-11	58.9
1_7361	1_1514	100	135	0	0	1	135	1	135	5.01e-88	269
1_7361	1_15414	89.8	137	0	1	1	137	1	123	4.60e-83	239
1_7361	1_15463	89.6	135	0	1	1	135	1	121	7.19e-75	234
1_7361	1_16143	49.6	135	68	0	1	135	24	158	7.57e-39	134
1_7361	1_22407	100	135	0	0	1	135	1	135	5.01e-88	269
