1_12443	1_10052	32.7	104	66	2	6	105	97	200	1.40e-11	58.5
1_12443	1_10202	41.7	103	57	2	6	105	20	122	2.98e-18	75.5
1_12443	1_11087	41.7	103	57	2	6	105	106	208	9.63e-18	75.1
1_12443	1_11120	40.8	103	58	2	6	105	20	122	1.73e-17	73.2
1_12443	1_1184	36.5	104	59	3	6	105	57	157	4.46e-16	70.5
1_12443	1_13043	49.5	93	44	2	16	105	231	323	3.79e-19	80.5
1_12443	1_14045	85.1	101	12	2	8	106	8	107	2.71e-57	174
1_12443	1_15469	43.1	102	53	2	6	105	37	135	8.71e-17	72.0
1_12443	1_15989	84.2	101	13	2	8	106	160	259	2.90e-52	166
1_12443	1_17056	41.7	103	57	2	6	105	66	168	2.37e-18	76.6
1_12443	1_18718	43.1	102	53	2	6	105	196	294	3.79e-16	72.0
1_12443	1_18962	38.9	95	55	2	6	97	122	216	3.53e-17	73.9
1_12443	1_19353	35.0	103	64	2	6	105	199	301	1.25e-11	59.3
1_12443	1_20506	38.2	102	58	2	6	105	198	296	3.86e-16	72.0
1_12443	1_2151	39.8	103	59	2	6	105	211	313	3.24e-14	66.6
1_12443	1_3931	43.1	102	53	2	6	105	196	294	3.79e-16	72.0
1_12443	1_6148	37.9	103	61	2	6	105	75	177	2.00e-16	70.5
1_12443	1_6600	39.2	102	57	3	6	105	138	236	9.64e-15	67.8
1_12443	1_7318	39.2	102	59	2	6	104	93	194	1.01e-13	64.7
1_12443	1_8620	35.9	103	63	2	6	105	75	177	9.98e-16	68.6
1_12443	1_9432	41.2	102	55	2	6	105	168	266	3.69e-17	74.7
1_12443	1_9514	37.9	103	61	2	6	105	210	312	1.17e-13	65.1
1_14045	1_12443	85.1	101	12	2	8	107	8	106	4.02e-58	177
1_15989	1_12443	84.2	101	13	2	160	259	8	106	8.10e-53	169
