1_10594	1_13650	59.5	126	22	2	1	97	84	209	3.93e-34	122
1_11427	1_13650	79.6	593	120	1	1	592	1	593	9.87e-246	688
1_1144	1_13650	92.0	436	26	3	18	448	1	432	1.08e-283	780
1_1159	1_13650	92.0	436	26	3	18	448	1	432	4.21e-284	780
1_11784	1_13650	76.9	429	91	1	43	463	3	431	1.05e-229	649
1_1197	1_13650	62.7	416	152	2	17	432	20	432	3.08e-177	514
1_12283	1_13650	57.0	151	64	1	7	157	2	151	2.21e-45	156
1_12715	1_13650	97.6	593	14	0	1	593	1	593	0.0	900
1_1302	1_13650	76.9	91	21	0	5	95	128	218	4.85e-38	135
1_13034	1_13650	76.5	595	137	2	1	595	1	592	7.07e-230	648
1_13056	1_13650	71.9	423	114	2	1	419	6	427	4.44e-211	600
1_13178	1_13650	68.1	420	132	1	6	425	15	432	1.42e-199	571
1_13290	1_13650	68.0	428	136	1	1	428	6	432	1.95e-200	573
1_13554	1_13650	78.7	432	91	1	1	431	1	432	2.76e-240	672
1_13584	1_13650	65.9	223	75	1	1	223	1	222	3.45e-99	300
1_13590	1_13650	72.0	428	115	2	13	436	1	427	2.19e-213	607
1_13650	1_11427	79.6	593	120	1	1	593	1	592	2.12e-247	692
1_13650	1_1144	92.0	436	26	3	1	432	18	448	3.73e-283	779
1_13650	1_1159	92.0	436	26	3	1	432	18	448	1.52e-283	779
1_13650	1_12715	97.6	593	14	0	1	593	1	593	0.0	900
1_13650	1_13554	78.7	432	91	1	1	432	1	431	1.31e-241	676
1_13650	1_1382	80.9	598	109	2	1	593	1	598	1.39e-249	698
1_13650	1_14486	75.4	589	140	1	1	589	1	584	7.04e-243	681
1_13650	1_15452	80.9	598	109	2	1	593	4	601	1.54e-249	698
1_13650	1_16991	77.6	593	115	2	1	593	1	575	4.54e-235	660
1_13650	1_17459	78.3	589	128	0	1	589	1	589	1.80e-244	685
1_13650	1_1946	79.4	588	121	0	6	593	1	588	2.82e-244	684
1_13650	1_19982	78.7	588	125	0	6	593	1	588	1.01e-239	673
1_13650	1_22654	80.1	428	84	1	6	432	1	428	2.56e-242	679
1_13650	1_22739	78.6	429	92	0	3	431	43	471	4.56e-240	676
1_13650	1_23023	76.7	600	133	1	1	593	1	600	3.83e-257	717
1_13650	1_2311	92.0	436	26	3	1	432	18	448	6.27e-283	779
1_13650	1_23755	78.7	432	91	1	1	432	1	431	1.04e-240	676
1_13650	1_3516	78.3	591	126	1	1	589	1	591	6.22e-238	669
1_13650	1_5658	72.5	593	128	1	1	593	1	558	4.43e-248	693
1_13650	1_5718	80.6	593	114	1	1	593	1	592	5.13e-253	707
1_13650	1_8328	81.1	593	111	1	1	593	1	592	2.49e-258	720
1_13650	1_8775	82.9	595	98	2	1	593	1	593	2.45e-268	746
1_13650	1_8834	84.4	595	90	2	1	593	1	594	2.54e-268	746
1_13650	1_9279	92.0	436	26	3	1	432	1	431	3.33e-283	779
1_13717	1_13650	56.2	438	186	5	32	469	1	432	2.18e-162	472
1_13796	1_13650	83.4	211	35	0	15	225	179	389	2.47e-121	357
1_1382	1_13650	80.9	598	109	2	1	598	1	593	9.86e-250	699
1_14486	1_13650	75.4	589	140	1	1	584	1	589	4.02e-242	679
1_14734	1_13650	77.5	422	95	0	1	422	6	427	1.98e-232	654
1_14917	1_13650	56.2	438	186	5	1	438	1	432	7.48e-161	473
1_15063	1_13650	73.2	589	153	3	1	589	6	589	9.03e-215	610
1_15452	1_13650	80.9	598	109	2	4	601	1	593	2.73e-250	700
1_15540	1_13650	56.2	438	186	5	32	469	1	432	2.97e-160	472
1_16036	1_13650	73.5	427	109	1	1	423	1	427	4.81e-219	620
1_16253	1_13650	78.2	87	18	1	1	87	6	91	3.09e-35	128
1_16389	1_13650	78.5	428	81	2	1	418	6	432	1.17e-235	662
1_16991	1_13650	77.6	593	115	2	1	575	1	593	2.91e-233	656
1_17434	1_13650	66.2	130	44	0	1	130	6	135	1.69e-53	177
1_17459	1_13650	78.3	589	128	0	1	589	1	589	1.04e-243	683
1_17484	1_13650	69.1	359	110	1	1	359	75	432	2.63e-169	491
1_17771	1_13650	76.3	591	138	1	1	591	1	589	5.54e-229	646
1_18389	1_13650	60.6	432	164	4	1	431	6	432	3.89e-176	511
1_1946	1_13650	79.4	588	121	0	1	588	6	593	2.43e-245	687
1_19735	1_13650	58.7	126	22	2	1	96	84	209	6.65e-33	119
1_19982	1_13650	78.7	588	125	0	1	588	6	593	2.14e-241	677
1_20399	1_13650	73.8	427	108	1	13	435	1	427	7.44e-219	620
1_20412	1_13650	62.7	126	27	1	1	106	84	209	5.44e-40	139
1_21028	1_13650	68.5	429	133	1	1	429	6	432	1.62e-207	591
1_21776	1_13650	80.3	325	62	1	21	345	271	593	1.91e-82	261
1_22102	1_13650	67.7	446	126	2	1	442	1	432	1.16e-205	585
1_22654	1_13650	80.1	428	84	1	1	428	6	432	2.20e-243	682
1_22739	1_13650	78.6	429	92	0	43	471	3	431	7.97e-239	672
1_23023	1_13650	76.7	600	133	1	1	600	1	593	6.75e-258	719
1_2311	1_13650	92.0	436	26	3	18	448	1	432	1.88e-283	780
1_23194	1_13650	50.5	432	165	2	1	383	1	432	7.20e-135	399
1_23656	1_13650	76.9	91	21	0	5	95	128	218	4.85e-38	135
1_23755	1_13650	78.7	432	91	1	1	431	1	432	2.41e-239	672
1_3135	1_13650	73.1	349	94	0	1	349	84	432	2.51e-174	503
1_3398	1_13650	73.4	192	51	0	1	192	241	432	1.43e-96	291
1_3516	1_13650	78.3	591	126	1	1	591	1	589	4.41e-238	669
1_399	1_13650	73.5	427	109	1	13	435	1	427	2.61e-219	622
1_4197	1_13650	86.7	180	23	1	4	183	1	179	4.50e-100	300
1_4793	1_13650	73.0	434	115	1	1	434	1	432	3.65e-219	621
1_5454	1_13650	73.0	434	115	1	24	457	1	432	4.18e-219	622
1_5658	1_13650	72.5	593	128	1	1	558	1	593	6.83e-247	690
1_5718	1_13650	80.6	593	114	1	1	592	1	593	2.76e-250	700
1_599	1_13650	68.0	428	136	1	1	428	6	432	1.88e-200	573
1_6691	1_13650	73.0	434	115	1	25	458	1	432	1.52e-219	623
1_6823	1_13650	44.7	141	76	1	6	144	9	149	1.63e-34	125
1_6990	1_13650	71.4	91	26	0	1	91	6	96	1.56e-36	129
1_7778	1_13650	73.8	427	108	1	1	423	1	427	4.81e-219	620
1_7845	1_13650	81.0	158	30	0	1	158	6	163	4.59e-83	255
1_8328	1_13650	81.1	593	111	1	1	592	1	593	8.71e-259	721
1_8619	1_13650	53.6	211	92	2	1	205	75	285	6.07e-64	207
1_8775	1_13650	82.9	595	98	2	1	593	1	593	3.27e-266	740
1_8834	1_13650	84.4	595	90	2	1	594	1	593	3.40e-266	740
1_9145	1_13650	66.9	130	43	0	1	130	6	135	1.63e-54	179
