1_11127	1_4354	99.0	1673	16	0	371	2043	4	1676	0.0	3350
1_17408	1_4354	97.8	1673	16	1	371	2023	4	1676	0.0	3311
1_19560	1_4354	35.2	517	174	9	26	531	1162	1528	1.30e-87	295
1_21080	1_4354	99.0	1673	16	0	283	1955	4	1676	0.0	3350
1_256	1_4354	99.9	1673	1	0	371	2043	4	1676	0.0	3380
1_4354	1_11127	99.0	1673	16	0	4	1676	371	2043	0.0	3349
1_4354	1_17408	97.8	1673	16	1	4	1676	371	2023	0.0	3308
1_4354	1_19560	35.2	517	174	9	1162	1528	26	531	8.78e-86	291
1_4354	1_21080	99.0	1673	16	0	4	1676	283	1955	0.0	3349
1_4354	1_256	99.9	1673	1	0	4	1676	371	2043	0.0	3380
