1_11061	1_23851	26.8	384	218	14	79	453	49	378	1.55e-22	102
1_11524	1_23851	26.8	384	218	14	79	453	49	378	2.05e-22	101
1_11628	1_23851	27.5	353	213	10	32	364	43	372	1.85e-24	107
1_12132	1_23851	26.7	386	220	14	108	484	47	378	7.42e-23	103
1_12321	1_23851	27.5	353	213	10	32	364	43	372	2.47e-24	107
1_14719	1_23851	26.8	384	218	14	119	493	49	378	1.79e-22	102
1_15750	1_23851	27.5	353	213	10	32	364	43	372	2.47e-24	107
1_16390	1_23851	25.4	358	228	11	15	354	42	378	6.60e-23	103
1_17155	1_23851	25.4	358	228	11	235	574	42	378	8.24e-23	103
1_17572	1_23851	29.0	365	201	12	14	372	39	351	6.07e-29	121
1_1831	1_23851	27.4	321	194	8	9	312	74	372	4.35e-24	106
1_18860	1_23851	29.0	365	201	12	15	373	39	351	6.11e-29	121
1_19605	1_23851	29.0	365	201	12	52	410	39	351	7.52e-29	121
1_22070	1_23851	29.0	365	201	12	53	411	39	351	7.56e-29	121
1_22090	1_23851	26.6	379	215	14	2	371	54	378	1.82e-21	98.2
1_23851	1_11061	26.8	384	218	14	49	378	79	453	2.29e-20	95.1
1_23851	1_11628	27.5	353	213	10	43	372	32	364	2.59e-25	110
1_23851	1_12321	27.5	353	213	10	43	372	32	364	3.22e-25	110
1_23851	1_15750	27.5	353	213	10	43	372	32	364	3.22e-25	110
1_23851	1_16390	25.4	358	228	11	42	378	15	354	7.11e-23	103
1_23851	1_17155	25.4	358	228	11	42	378	235	574	9.03e-23	103
1_23851	1_17572	29.1	357	195	12	47	351	22	372	7.93e-27	115
1_23851	1_1831	27.3	322	195	8	73	372	8	312	1.45e-24	107
1_23851	1_18860	29.1	357	195	12	47	351	23	373	7.96e-27	115
1_23851	1_19605	29.1	357	195	12	47	351	60	410	9.04e-27	115
1_23851	1_22070	29.1	357	195	12	47	351	61	411	9.06e-27	115
1_23851	1_29	29.1	357	195	12	47	351	95	445	9.93e-27	115
1_23851	1_4078	30.3	350	192	13	47	351	96	438	9.87e-28	118
1_23851	1_5292	99.2	598	0	1	1	593	1	598	0.0	1129
1_23851	1_5817	31.9	376	198	5	40	379	18	371	2.19e-48	181
1_23851	1_7121	29.1	357	195	12	47	351	96	446	9.96e-27	115
1_23851	1_9458	26.8	384	218	14	49	378	110	484	2.43e-20	95.1
1_29	1_23851	29.0	365	201	12	87	445	39	351	8.86e-29	121
1_4078	1_23851	30.2	358	198	13	88	438	39	351	1.14e-29	124
1_5292	1_23851	99.2	598	0	1	1	598	1	593	0.0	1128
1_5817	1_23851	31.8	402	211	7	18	392	40	405	1.03e-48	182
1_7121	1_23851	29.0	365	201	12	88	446	39	351	8.90e-29	121
1_9458	1_23851	26.8	384	218	14	110	484	49	378	1.74e-22	102
